iter	Passed	Remaining
739	29612	10404
740	29648	10362
741	29684	10321
742	29724	10281
743	29762	10240
744	29799	10199
745	29842	10160
746	29879	10119
747	29919	10079
748	29960	10040
749	29999	9999
750	30039	9959
751	30079	9919
752	30116	9878
753	30157	9839
754	30194	9798
755	30230	9757
756	30267	9715
757	30308	9676
758	30344	9635
759	30382	9594
760	30420	9553
761	30462	9514
762	30504	9475
763	30551	9437
764	30593	9398
765	30636	9358
766	30674	9318
767	30716	9278
768	30755	9238
769	30773	9192
770	30813	9152
771	30859	9113
772	30899	9074
773	30940	9034
774	30983	8995
775	31025	8955
776	31064	8915
777	31108	8876
778	31148	8836
779	31189	8797
780	31228	8756
781	31273	8718
782	31315	8678
783	31357	8639
784	31398	8599
785	31445	8561
786	31483	8521
787	31521	8480
788	31564	8441
789	31602	8400
790	31649	8362
791	31693	8323
792	31735	8284
793	31775	8244
794	31819	8204
795	31863	8165
796	31902	8125
797	31946	8086
798	31963	8040
799	32004	8001
800	32049	7962
801	32097	7924
802	32145	7886
803	32187	7846
804	32234	7808
805	32281	7769
806	32329	7731
807	32370	7691
808	32419	7654
809	32467	7615
810	32509	7576
811	32549	7536
812	32592	7496
813	32611	7451
814	32647	7410
815	32685	7370
816	32732	7331
817	32770	7291
818	32812	7251
819	32853	7211
820	32893	7171
821	32932	7131
822	32977	7092
823	33015	7051
824	33062	7013
825	33100	6972
826	33139	6932
827	33178	6892
828	33220	6852
829	33258	6811
830	33295	6771
831	33332	6730
832	33373	6690
833	33412	6650
834	33449	6609
835	33490	6569
836	33537	6531
837	33574	6490
838	33613	6450
839	33637	6407
840	33683	6368
841	33726	6328
842	33772	6289
843	33820	6251
844	33872	6213
845	33923	6175
846	33969	6136
847	34011	6096
848	34050	6056
849	34095	6016
850	34137	5977
851	34183	5938
852	34223	5897
853	34267	5858
854	34308	5818
855	34356	5779
856	34392	5738
857	34434	5699
858	34480	5659
859	34523	5620
860	34564	5580
861	34602	5539
862	34649	5500
863	34696	5461
864	34733	5420
865	34773	5380
866	34818	5341
867	34866	5302
868	34917	5263
869	34957	5223
870	35018	5186
871	35062	5146
872	35104	5106
873	35156	5068
874	35198	5028
875	35236	4987
876	35284	4948
877	35328	4908
878	35377	4869
879	35418	4829
880	35464	4790
881	35512	4751
882	35559	4711
883	35576	4668
884	35617	4628
885	35667	4589
886	35709	4549
887	35750	4509
888	35798	4469
889	35848	4430
890	35893	4391
891	35934	4350
892	35982	4311
893	36024	4271
894	36067	4231
895	36109	4191
896	36151	4151
897	36193	4111
898	36237	4071
899	36278	4030
900	36321	3990
901	36362	3950
902	36404	3910
903	36445	3870
904	36486	3830
905	36528	3789
906	36570	3749
907	36616	3710
908	36653	3669
909	36690	3628
910	36730	3588
911	36769	3547
912	36807	3507
913	36846	3466
914	36887	3426
915	36924	3386
916	36967	3346
917	37007	3305
918	37050	3265
919	37096	3225
920	37134	3185
921	37175	3145
922	37216	3104
923	37254	3064
924	37295	3023
925	37343	2984
926	37383	2943
927	37421	2903
928	37463	2863
929	37503	2822
930	37546	2782
931	37585	2742
932	37629	2702
933	37669	2661
934	37717	2622
935	37799	2584
936	37848	2544
937	37890	2504
938	37931	2464
939	37973	2423
940	38017	2383
941	38059	2343
942	38097	2302
943	38134	2262
944	38175	2221
945	38217	2181
946	38262	2141
947	38307	2101
948	38353	2061
949	38396	2020
950	38440	1980
951	38483	1940
952	38523	1899
953	38565	1859
954	38611	1819
955	38656	1779
956	38701	1738
957	38739	1698
958	38788	1658
959	38838	1618
960	38890	1578
961	38938	1538
962	38993	1498
963	39039	1457
964	39088	1417
965	39142	1377
966	39189	1337
967	39238	1297
968	39285	1256
969	39340	1216
970	39387	1176
971	39440	1136
972	39500	1096
973	39567	1056
974	39610	1015
975	39654	975
976	39697	934
977	39738	893
978	39782	853
979	39821	812
980	39859	771
981	39901	731
982	39948	690
983	39987	650
984	40028	609
985	40074	569
986	40117	528
987	40162	487
988	40206	447
989	40253	406
990	40301	366
991	40346	325
992	40385	284
993	40427	244
994	40465	203
995	40510	162
996	40551	122
997	40588	81
998	40633	40
999	40675	0
